name,jurisdiction,jurisdictionType,entityType,status,statusDescription,birthyear,birthmonth,birthday,deathyear,deathmonth,deathday,zipcode
BURGEAST N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,01,29,2003,12,31,10152
LUTINE REALTY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,02,06,NONE,NONE,NONE,10017
SAM SUNG ELECTRONICS CO. LTD.,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,02,15,1995,09,27,10017
TAIWAN MARITIME TRANSPORTATION CO. LTD.,CHINA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,02,16,1995,09,27,10004
DODWELL INTERNATIONAL BUYING OFFICES LIMITED,HONG KONG,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,02,21,1986,12,31,10168
REIHERON INTERNATIONAL CORP.,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,02,22,NONE,NONE,NONE,11217
ETABLISSEMENTS GONTHIEZ FRERES,FRANCE,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,02,23,1995,09,27,10020
HANDELS-EN PRODUCTIEMAATSCHAPPIJ DE SCHOUW B.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,02,26,NONE,NONE,NONE,10019
GRANEDOR ESTABLISHMENT MAUREN,LIECHTENSTEIN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,03,01,NONE,NONE,NONE,10036
ABINSKAYA N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,03,02,2003,12,31,10022
KINDERA CORP. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,03,16,1981,01,19,10028
MSL INVESTORS S.A. LTD.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1979,03,22,1994,07,26,10022
KATEFID AKTIENGESELLSCHAFT MAUREN,LIECHTENSTEIN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,03,22,NONE,NONE,NONE,10036
KARMIS N. V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,03,29,2003,12,31,10020
LEXINPROP INC.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,MERGED OUT,1979,04,05,1983,07,06,10020
BEER PRECAST CONCRETE LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,04,10,1982,09,29,10017
TORIGUA S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,04,11,NONE,NONE,NONE,10018
PEARL CERAMICS LTD.,JAPAN,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,04,12,1995,09,27,10010
IRIS PROPERTIES LIMITED,BRITISH VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,04,20,NONE,NONE,NONE,10022
LA SOCIEDAD HAVANATUR S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,04,23,1995,09,27,10017
LEDEXCA S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,04,23,1995,09,27,10017
BEMIS DE EL SALVADOR S.A.,EL SALVADOR,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,04,25,2002,09,25,10017
NAVIRE CARGO GEAR (SF) OY,FINLAND,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,04,27,1981,07,23,10005
MURJANI MARKETING GROUP LIMITED,VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,05,01,1995,09,27,10022
BALINO N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,05,04,1995,09,27,10017
ADINA 74 REALTY CORPORATION,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,MERGED OUT,1979,05,15,2010,03,04,10022
PAUMI CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,05,31,NONE,NONE,NONE,10036
PYUNG AN TEXTILE CO. LTD.,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,06,04,1983,02,14,11360
ROSETTA PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,06,05,NONE,NONE,NONE,11354
HANSHIN CONTRUCTION CO. LTD.,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,06,06,NONE,NONE,NONE,10017
AMERICA WEST AFRICA TRADING CO. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,06,18,2002,06,26,10017
MIRYUNG CONSTRUCTION COMPANY,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,06,27,1995,09,27,10036
MANHATTAN ATLANTIC MANAGEMENT LTD.,BRITISH VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,07,02,NONE,NONE,NONE,10011
OGANTI CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1979,07,06,1986,12,29,10022
INVERSIONES SALCO INTERNACIONAL S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,07,20,2002,06,26,10036
WATERLY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,07,20,1995,03,23,10169
LEDERMANN-DESIGN (GMBH),GERMANY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,07,24,1995,09,27,10001
C.R. LAWRENCE PTY. LIMITED,AUSTRIA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,07,24,1995,09,27,10017
BIDEFORD CORP. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,07,24,1988,04,06,10004
HOULEEN INVESTORS N. V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,07,24,1995,09,27,10022
CROUCH INTERNATIONAL CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,07,25,1983,06,29,10166
INFOMEDIA INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,06,1995,09,27,10017
TRINIFOLD TRAVEL LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,06,1995,09,27,10019
DOTAKU N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,08,2003,12,31,10017
MANNING BEARD INTERNATIONAL LIMITED,BERMUDA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,08,09,NONE,NONE,NONE,10017
RESEARCH BUREAU (RESEARCH INTERNATIONAL) LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,13,1995,09,27,10019
ITALIA CROCIERE INTERNAZIONALI S.P.A.,ITALY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,20,1988,04,13,10017
ED-U PRESS INC.,VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1979,08,20,1997,01,31,10017
ISTITUTO CHEMIOTERAPICO ITALIANO S.P.A.,ITALY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,22,1995,09,27,10017
ALEXANDERS DISCOUNT COMPANY LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,08,30,1995,09,27,10005
WALTOX CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,08,31,NONE,NONE,NONE,10011
CHEIL SUGAR CO. LTD.,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,09,06,1983,04,14,10036
DANIEL PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,09,07,1990,10,12,10017
TRILAND METALS LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,09,10,1995,09,27,10017
HELEOT REALTY BETA B.V. CORP.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,09,14,NONE,NONE,NONE,10017
TEAL RESOURCES LTD. N. V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,09,20,NONE,NONE,NONE,10005
INTERLINK AGENCIES LTD.,BERMUDA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,09,21,1995,09,27,10022
INDRA PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,09,24,2002,06,26,10017
LARGO BROKERAGE CO. INC.,LIBERIA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,17,2002,09,25,10017
MANDA PROPERTIES INCORPORATED N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,10,12,2004,12,29,10022
INTERNATIONAL COMIN GROUP N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,10,16,NONE,NONE,NONE,10011
PORT EAGLE INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,10,18,1998,12,16,10022
SOMMER HOTELS COMPANY LIMITED,BERMUDA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,10,19,1995,09,27,10017
REVLON MANUFACTURING LTD.,BERMUDA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,10,22,1995,12,14,10022
CHIN SHAN ENTERPRISE CO. LTD.,CHINA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,10,23,1995,09,27,10004
STEEL IRON SHEET INDUSTRY JOINT STOCK COMPANY,TURKEY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,10,24,1995,09,27,10017
SALISBURY DEVELOPMENT N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,10,31,NONE,NONE,NONE,10017
VILL-SHEPHERD EQUITIES CORP. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1979,11,01,2010,09,10,10016
DEVER PROPERTIES N.V. INC.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,11,02,NONE,NONE,NONE,10178
ORSONEX LTD.,CAYMAN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,11,05,2003,03,26,10017
ONDE PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,11,15,1988,04,13,10017
S.G. WARBURG NORTH AMERICA LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,11,29,2002,12,24,10022
CHIN HUNG INTERNATIONAL INC.,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,12,03,1981,02,26,10166
GRINDO INTERNATIONAL INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,20,2002,09,25,10004
PLYMOUTH HOLDINGS LTD. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1979,12,20,1985,07,23,10017
BRASIL SALVAGE S/A SOCIEDADE BRASILEIRA DE VISTORIAS E INSPECOES,BRAZIL,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,12,24,NONE,NONE,NONE,10004
SARA CREEK REAL ESTATE THREE B.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,24,2009,10,28,10011
S.A.R.L. - COMPAGNIE MARITIME DAFFRETEMENT C.M.A.,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1979,12,26,NONE,NONE,NONE,10017
KIPLING TRADER INC.,LIBERIA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,27,1999,06,23,10017
DESMOND ELLIOTT PUBLISHER LIMITED,BRITISH VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1979,12,28,2004,12,29,10022
BELEGGINGSMAATSCHAPPIJ NIEUWENHOORN B.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,02,2009,10,28,10017
HABIB & SONS LIMITED,PAKISTAN,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,07,2003,06,25,10022
GOTAAS-LARSEN LTD.,BERMUDA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,17,1995,09,27,10019
LAVOISIER PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,01,24,NONE,NONE,NONE,10005
WILLISTON SOCIEDAD ANONIMA,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,01,24,NONE,NONE,NONE,10022
FAROMAN CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,25,1995,09,27,10005
CIUCCA COMPANY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,12,05,1989,03,22,10022
PARKMOUNT PROPERTIES INC. NV,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,25,1995,09,27,10017
TRELEW N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,01,31,2003,12,31,10001
WATLIS REALTY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,02,04,1995,10,04,10022
DEMETER REAL ESTATE CORPORATION B.V.,NETHERLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1980,02,05,1989,09,26,10019
PORT EXPRESS INTERNATIONAL INC.,CANADA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,02,08,1995,09,27,10005
LONDON AND CONTINENTAL ADVERTISING LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,02,13,1995,09,27,10005
SEA LAVENDER N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,02,13,NONE,NONE,NONE,10017
TELEMEDIOS C.A.,VENEZUELA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,02,15,1995,09,27,10019
SILVER AUTUMN HOTEL CORP. LIMITED,BRITISH VIRGIN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1980,02,27,2003,09,17,10019
TIBSAN MEDICAL EQUIPMENT AND DRUG INDUSTRY AND TRADE JOINT STOCK COMPANY,TURKEY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,02,27,1986,09,17,10017
OCCINVEST N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,02,29,2003,09,24,10022
CAMTRA ITALIAN CHAIN CORP.,INDONESIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,03,03,NONE,NONE,NONE,10017
BEAUBERRY CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,03,12,1995,09,27,10019
M. GERARD JOAILLIERS S.A.,FRANCE,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,03,14,1980,10,29,10022
SMEN CORPORATION N.V.,NETHERLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,03,25,2000,05,30,10022
OKANDA CORPORATION S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,03,25,1988,05,04,10028
ENFORD PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,03,26,2000,05,03,10011
STOKIN PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,03,26,1995,09,27,10019
WANSDOWN PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,03,26,NONE,NONE,NONE,10011
JACIN INVESTORS CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,04,02,NONE,NONE,NONE,10021
D E G I DEUTSCHE GESELLSCHAFT FUER IMMOBILIENFONDS M.B.H.,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,04,09,NONE,NONE,NONE,10158
LAVAL PROPERTIES CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,04,14,NONE,NONE,NONE,10011
A.B. ZACHER INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1980,04,14,1984,10,01,10022
PROEL ELECTRONIC PROCESSES LTD.,CAYMAN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,04,18,1981,11,17,10017
GREEN DRAKE CORPORATION,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,04,21,NONE,NONE,NONE,10011
TRIMPEX COMPANY S.A.R.L.,LEBANON,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,04,29,1995,09,27,10019
SEMPER ALTIOR INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,05,02,1988,04,01,10021
RUBY TRAVELS LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,09,1995,09,27,10007
VANDERGRIFF CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,10,2003,12,31,10011
LEONE INTERNATIONAL SPA INC.,ITALY,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,10,1995,09,27,10021
MARLINTON COMPANY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,06,11,NONE,NONE,NONE,10017
SUSTA CORPORATION LIMITED,"BAHAMAS, THE",world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,11,2012,01,25,10106
RCAY S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,16,2001,06,27,10022
SMILING FOX LIMITED,CAYMAN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1980,06,17,1993,08,26,10017
ATLANTIC CONTAINER LINE LIMITED,BERMUDA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,TERMINATION,1980,06,19,2003,11,19,10005
BAYBORO CORPORATION N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,23,2002,06,26,10017
GEMINI SHIPPING INC.,CAYMAN ISLANDS,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,25,1995,09,27,10048
27-B FIFTH AVENUE REALTY S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,25,2003,06,25,10017
KEANG NAM ENTERPRISES LIMITED,"KOREA,SOUTH",world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,27,1995,09,27,10017
MINNESOTA PORT SERVICES INC.,PUERTO RICO,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,27,1995,09,27,10017
EXCHANGE PLACE FRABEL B.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,06,30,1995,09,27,10005
JERTLEY N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,07,03,1995,09,27,10001
RASAM PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,07,03,1995,09,27,10001
ENDEAVOR PROPERTY HOLDINGS N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,07,09,2001,06,27,10038
HADJI BABA N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1980,07,15,NONE,NONE,NONE,10110
FELMA TRADING AG,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,12,11,1995,09,27,10017
KAYENNE PROPERTY HOLDINGS LIMITED,LIBERIA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,08,06,1995,09,27,10017
GETTINGTON CORP. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,08,07,1988,03,29,10004
GARYVALE CORP. N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1980,08,07,1988,06,28,10004
LAGASH PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,08,08,1995,09,27,10001
HARAN PROPERTIES N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1980,08,08,1995,09,27,10001
